제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,분류근거_키워드,분류신뢰도,출산양육관련여부,수집방식
PROP-196115,임산부를 위한 제안,임산부를 위한 제안,2024-05-06,2024,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196115,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196096,서울시 자녀출산 무주택가구 주거비 지원,서울시 자녀출산 무주택가구 주거비 지원,2024-04-30,2024,25.0,4,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196096,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196094,서울시 자녀출산 무주택가구 주거비 지원,서울시 자녀출산 무주택가구 주거비 지원,2024-04-30,2024,43.0,7,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196094,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196093,서울시 자녀출산 무주택 가구 주거비 지원,서울시 자녀출산 무주택 가구 주거비 지원,2024-04-30,2024,106.0,21,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196093,직접키워드 (출산),상,직접관련,ver1 수집
PROP-195893,서울시 공영주차장 다자녀 할인 혜택의 거주지 기준 재검토 요청,서울시 공영주차장 다자녀 할인 혜택의 거주지 기준 재검토 요청,2024-04-18,2024,19.0,5,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195893,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-195827,서울시 합계출산율 최저 기록에 대한 대책,서울시 합계출산율 최저 기록에 대한 대책,2024-04-07,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195827,직접키워드 (출산),상,직접관련,ver1 수집
PROP-195811,다둥이 카드 사용기간 연장,다둥이 카드 사용기간 연장,2024-04-02,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195811,직접키워드 (다둥이),상,직접관련,ver1 수집
PROP-195788,소득제한을 두지 않는 보편적 한부모 혜택,소득제한을 두지 않는 보편적 한부모 혜택,2024-03-25,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195788,직접키워드 (한부모),상,직접관련,ver1 수집
PROP-195730,소아과와 어린이집 유치원 보육시설 연계가 있었으면 좋겠습니다.,소아과와 어린이집 유치원 보육시설 연계가 있었으면 좋겠습니다.,2024-03-16,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195730,직접키워드 (보육),상,직접관련,ver1 수집
PROP-195711,[공동육아 스타트업] 서울시육아지원정부사업_협력/홍보 문의,[공동육아 스타트업] 서울시육아지원정부사업_협력/홍보 문의,2024-03-08,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195711,직접키워드 (육아),상,직접관련,ver1 수집
PROP-195684,유급 육아시간 확대 사용 건의,유급 육아시간 확대 사용 건의,2024-03-02,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195684,직접키워드 (육아),상,직접관련,ver1 수집
PROP-195676,서울런 다자녀 확대 시기,서울런 다자녀 확대 시기,2024-02-26,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195676,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-195671,[제도개선]다자녀 가정의 시·도 간 주차요금 감면 혜택 제도적 보완 제안,[제도개선]다자녀 가정의 시·도 간 주차요금 감면 혜택 제도적 보완 제안,2024-02-26,2024,32.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195671,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-195665,우리는 왜 출산하지 않을까? Part 3,우리는 왜 출산하지 않을까? Part 3,2024-02-25,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195665,직접키워드 (출산),상,직접관련,ver1 수집
PROP-195663,우리는 왜 출산하지 않을까? Part 2,우리는 왜 출산하지 않을까? Part 2,2024-02-25,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195663,직접키워드 (출산),상,직접관련,ver1 수집
PROP-195661,우리는 왜 출산하지 않을까? Part 1,우리는 왜 출산하지 않을까? Part 1,2024-02-24,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195661,직접키워드 (출산),상,직접관련,ver1 수집
PROP-195657,다자녀 할인 확대,다자녀 할인 확대,2024-02-22,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195657,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-195640,서울시 임산부의 건강을 위한 지원사업을 요청합니다,서울시 임산부의 건강을 위한 지원사업을 요청합니다,2024-02-15,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195640,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-195595,키움센터 정기돌봄 선정을 추첨으로 해주시길 제안합니다.,키움센터 정기돌봄 선정을 추첨으로 해주시길 제안합니다.,2024-02-01,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195595,직접키워드 (키움센터),상,직접관련,ver1 수집
PROP-195593,서울시 신혼부부 전세자금대출 증액 가능하도록 정정 부탁 드립니다.,서울시 신혼부부 전세자금대출 증액 가능하도록 정정 부탁 드립니다.,2024-01-31,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195593,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-195558,육아휴직 프리랜서 자영업 개선,육아휴직 프리랜서 자영업 개선,2024-01-18,2024,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195558,직접키워드 (육아),상,직접관련,ver1 수집
PROP-195523,서울시 신혼부부 전세대출 한도 증액,서울시 신혼부부 전세대출 한도 증액,2024-01-10,2024,18.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195523,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-195496,연령별출산대책,연령별출산대책,2024-01-03,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195496,직접키워드 (출산),상,직접관련,ver1 수집
PROP-195492,한강 유람선을 탈 때 유모차나 휠체어 타고 그대로 탈 수 있게 해 주면 좋겠습니다. 지하철처럼(호주 사례 첨부),한강 유람선을 탈 때 유모차나 휠체어 타고 그대로 탈 수 있게 해 주면 좋겠습니다. 지하철처럼(호주 사례 첨부),2024-01-03,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195492,직접키워드 (유모차),상,직접관련,ver1 수집
PROP-195491,휘경2동 아이들을 위한 시설을 만들어 주세요,휘경2동 아이들을 위한 시설을 만들어 주세요,2024-01-03,2024,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195491,조합규칙 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),중,조합관련,ver1 수집
PROP-195464,구에서 운영하는 체육시설에 대해 다자녀 3명 → 2명으로 변경 제한 드립니다.,구에서 운영하는 체육시설에 대해 다자녀 3명 → 2명으로 변경 제한 드립니다.,2023-12-27,2023,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195464,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-195458,"부모 교육 확대, 기업 본사 이전 면세 혜택,  자동·의무 육아휴직제- 저출산 정책 제안","부모 교육 확대, 기업 본사 이전 면세 혜택,  자동·의무 육아휴직제- 저출산 정책 제안",2023-12-24,2023,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195458,직접키워드 (출산),상,직접관련,ver1 수집
PROP-195405,서울지하철 임산부배려석 실효성 높이는 방안 제안합니다,서울지하철 임산부배려석 실효성 높이는 방안 제안합니다,2023-12-05,2023,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195405,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-195367,타지역 다둥이도 서울시 공공시설물에 주차 할인을 해주세요~,타지역 다둥이도 서울시 공공시설물에 주차 할인을 해주세요~,2023-11-28,2023,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195367,직접키워드 (다둥이),상,직접관련,ver1 수집
PROP-195272,지하철 임산부좌석,지하철 임산부좌석,2023-11-03,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195272,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-195248,난임 치료 중 PGT 진단도 의료 지원을 해주면 어떨까요?,난임 치료 중 PGT 진단도 의료 지원을 해주면 어떨까요?,2023-10-29,2023,16.0,0,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195248,직접키워드 (난임),상,직접관련,ver1 수집
PROP-195209,임산부 출퇴근 셔틀버스,임산부 출퇴근 셔틀버스,2023-10-19,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195209,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-195183,국공립 유치원 등하원 차량운행 요청,국공립 유치원 등하원 차량운행 요청,2023-10-10,2023,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195183,직접키워드 (유치원),상,직접관련,ver1 수집
